abysses	abyss
addenda	addendum
agenda	agendum
agendas	agendum
agents provocateurs	agent provocateur
algae	alga
alumnae	alumna
alumni	alumnus
analyses	analysis
anathemata	anathema
anathemas	anathema
antennas	antenna
antennae	antenna
apparatuses	apparatus
appendices	appendix
appendixes	appendix
aquaria	aquarium
aquariums	aquarium
arches	arch
atlases	atlas
attorneys general	attorney general
axes	axe
axes	axis
babies	baby
bacilli	bacillus
bacteria	bacterium
bases	basis
batches	batch
bills of attainder	bill of attainder
biscotti	biscotto
bison	bison
bons mots	bon mot
bon mots	bon mot
bons vivants	bon vivant
bon vivants	bon vivant
brothers	brother
brothren	brother
brushes	brush
buffalos	buffalo
buffaloes	buffalo
bureaus	bureau
bureaux	bureau
busses	bus
buses	bus
cactuses	cactus
cacti	cactus
calves	calf
candelabra	candelabrum
candelabras	candelabrum
cantos	canto
chateaux	chateau
chateaus	chateau
cherries	cherry
chicks	chick
chickens	chicken
children	child
churches	church
circuses	circus
cities	city
cod	cod
cods	cod
copies	copy
corps	corps
corpora	corpus
corpuses	corpus
courts martial	court martial
cris du coeur	cri du coeur
crises	crisis
criteria	criterion
curricula	curriculum
data	datum
deer	deer
diagnoses	diagnosis
dice	die
directors general	director general
dogmata	dogma
dogmas	dogma
dominoes	domino
Dukhobortsy	Dukhobor
dwarfs	dwarf
dwarves	dwarf
echoes	echo
elves	elf
ellipses	ellipsis
embargoes	embargo
emphases	emphasis
ententes cordiales	entente cordiale
errata	erratum
faits accomplis	fait accompli
faxes	fax
fees simple absolute	fee simple absolute
firemen	fireman
fish	fish
fishes	fish
flushes	flush
flies	fly
foci	focus
focuses	focus
feet	foot
formulae	formula
formulas	formula
fungi	fungus
funguses	fungus
gentes	gens
genua	genu
genera	genus
geese	goose
graffiti	graffito
halves	half
halluces	hallux
heroes	hero
heteros	hetero
hippopotami	hippopotamus
hippopotamuses	hippopotamus
hoaxes	hoax
holluschikie	holluschik
hoofs	hoof
hooves	hoof
hypotheses	hypothesis
idees fixes	idee fixe
indices	index
indexes	index
insignia	insigne
insignias	insigne
irises	iris
itinera	iter
kimonos	kimono
kisses	kiss
knives	knife
kroner	krone
ladies	lady
leaves	leaf
lemmata	lemma
lemmas	lemma
lives	life
loaves	loaf
lice	louse
men	man
mangoes	mango
menservants	manservant
matrices	matrix
matrixes	matrix
matzoth	matzo
means	means
media	medium
memoranda	memorandum
messes	mess
millenniums	millennium
millennia	millennium
minutia	minutiae
moose	moose
mosquitoes	mosquito
mottoes	motto
mice	mouse
nannies	nanny
nebulae	nebula
nebulas	nebula
neuroses	neurosis
nuclei	nucleus
oases	oasis
octopi	octopus
octopuses	octopus
offspring	offspring
opera	opus
operas	opus
ornithes	ornis
ova	ovum
oxen	ox
panini	panino
paninis	panino
paparazzi	paparazzo
paralyses	paralysis
parentheses	parenthesis
passes	pass
passersby	passerby
pennies	penny
people	person
phenomena	phenomenon
photos	photo
pianos	piano
plateaus	plateau
plateaux	plateau
poppies	poppy
porticos	portico
potatoes	potato
pros	pro
procurators fiscal	procurator fiscal
quadrantes	quadrans
quartos	quarto
quizzes	quiz
radii	radius
radiuses	radius
reflexes	reflex
scarfs	scarf
scarves	scarf
schemata	schema
schemas	schema
scissors	scissors
scratches	scratch
scrota	scrotum
scrotums	scrotum
selves	self
seraphim	seraph
series	series
sheaves	sheaf
sheep	sheep
shelves	shelf
shtetlach	shtetl
spaghettis	spaghetto
paghetti	spaghetto
species	species
splashes	splash
spies	spy
stigmata	stigma
stigmas	stigma
stimuli	stimulus
stitches	stitch
stomata	stoma
stomas	stoma
stories	story
strata	stratum
syllabi	syllabus
syllabuses	syllabus
symposia	symposium
symposiums	symposium
synopses	synopsis
syntheses	synthesis
tableaux	tableau
tableaus	tableau
taxes	tax
those	that
theses	thesis
thieves	thief
these	this
tomatoes	tomato
teeth	tooth
tornadoes	tornado
torpedoes	torpedo
torten	torte
tours de force	tour de force
tries	try
ushabtiu	ushabti
vasa	vas
vertebrae	vertebra
vetoes	veto
vitae	vita
volcanoes	volcano
waltzes	waltz
wharves	wharf
wives	wife
wolves	wolf
women	woman
women doctors	woman doctor
wunderkinder	wunderkind
yeshivoth	yeshiva
zecchini	zecchino
zeros	zero
zeroes	zero
